| Index | Instruction       | Sig                                           | Arch | OpCode                        | Encoding | Prefix | OpCodeByte | L   | W   | PP   | MM   | x67   | ModR | ModRM | VsibReg | VsibSize | KMask | ZMask |
| 114   | bndcn             | bndcn bnd,r32/m                               | X86  | F2 0F 1B /r                   | RM       |        | 1B         |     |     | F2   | 0F   | false | r    |       |         | -1       | false | false |
| 115   | bndcn             | bndcn bnd,r64/m                               | X64  | F2 0F 1B /r                   | RM       |        | 1B         |     |     | F2   | 0F   | false | r    |       |         | -1       | false | false |
| 116   | bndcu             | bndcu bnd,r32/m                               | X86  | F2 0F 1A /r                   | RM       |        | 1A         |     |     | F2   | 0F   | false | r    |       |         | -1       | false | false |
| 117   | bndcu             | bndcu bnd,r64/m                               | X64  | F2 0F 1A /r                   | RM       |        | 1A         |     |     | F2   | 0F   | false | r    |       |         | -1       | false | false |
| 118   | bndldx            | bndldx bnd,m                                  | ANY  | 0F 1A /r                      | RM       |        | 1A         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 119   | bndmk             | bndmk bnd,m                                   | ANY  | F3 0F 1B /r                   | RM       |        | 1B         |     |     | F3   | 0F   | false | r    |       |         | -1       | false | false |
| 120   | bndmov            | bndmov bnd,bnd/m                              | ANY  | 66 0F 1A /r                   | RM       |        | 1A         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 121   | bndmov            | bndmov bnd/m,bnd                              | ANY  | 66 0F 1B /r                   | MR       |        | 1B         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 122   | bndstx            | bndstx m,bnd                                  | ANY  | 0F 1B /r                      | MR       |        | 1B         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 123   | bound             | bound r16,m                                   | X86  | 66 62 /r                      | RM       |        | 62         |     |     | 66   |      | false | r    |       |         | -1       | false | false |
| 124   | bound             | bound r32,m                                   | X86  | 62 /r                         | RM       |        | 62         |     |     |      |      | false | r    |       |         | -1       | false | false |
| 125   | bsf               | bsf r16,r16/m                                 | ANY  | 66 0F BC /r                   | RM       |        | BC         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 126   | bsf               | bsf r32,r32/m                                 | ANY  | 0F BC /r                      | RM       |        | BC         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 127   | bsf               | bsf r64,r64/m                                 | X64  | REX.W 0F BC /r                | RM       |        | BC         |     | W1  |      | 0F   | false | r    |       |         | -1       | false | false |
| 128   | bsr               | bsr r16,r16/m                                 | ANY  | 66 0F BD /r                   | RM       |        | BD         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 129   | bsr               | bsr r32,r32/m                                 | ANY  | 0F BD /r                      | RM       |        | BD         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 130   | bsr               | bsr r64,r64/m                                 | X64  | REX.W 0F BD /r                | RM       |        | BD         |     | W1  |      | 0F   | false | r    |       |         | -1       | false | false |
| 131   | bswap             | bswap r16                                     | ANY  | 66 0F C8+r                    | O        |        | C8         |     |     | 66   | 0F   | false |      |       |         | -1       | false | false |
| 132   | bswap             | bswap r32                                     | ANY  | 0F C8+r                       | O        |        | C8         |     |     |      | 0F   | false |      |       |         | -1       | false | false |
| 133   | bswap             | bswap r64                                     | X64  | REX.W 0F C8+r                 | O        |        | C8         |     | W1  |      | 0F   | false |      |       |         | -1       | false | false |
| 134   | bt                | bt r16/m,ib/ub                                | ANY  | 66 0F BA /4 ib                | MI       |        | BA         |     |     | 66   | 0F   | false | 4    |       |         | -1       | false | false |
| 135   | bt                | bt r32/m,ib/ub                                | ANY  | 0F BA /4 ib                   | MI       |        | BA         |     |     |      | 0F   | false | 4    |       |         | -1       | false | false |
| 136   | bt                | bt r64/m,ib/ub                                | X64  | REX.W 0F BA /4 ib             | MI       |        | BA         |     | W1  |      | 0F   | false | 4    |       |         | -1       | false | false |
| 137   | bt                | bt r16/m,r16                                  | ANY  | 66 0F A3 /r                   | MR       |        | A3         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 138   | bt                | bt r32/m,r32                                  | ANY  | 0F A3 /r                      | MR       |        | A3         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 139   | bt                | bt r64/m,r64                                  | X64  | REX.W 0F A3 /r                | MR       |        | A3         |     | W1  |      | 0F   | false | r    |       |         | -1       | false | false |
| 140   | btc               | btc r16/m,ib/ub                               | ANY  | 66 0F BA /7 ib                | MI       |        | BA         |     |     | 66   | 0F   | false | 7    |       |         | -1       | false | false |
| 141   | btc               | btc r32/m,ib/ub                               | ANY  | 0F BA /7 ib                   | MI       |        | BA         |     |     |      | 0F   | false | 7    |       |         | -1       | false | false |
| 142   | btc               | btc r64/m,ib/ub                               | X64  | REX.W 0F BA /7 ib             | MI       |        | BA         |     | W1  |      | 0F   | false | 7    |       |         | -1       | false | false |
| 143   | btc               | btc r16/m,r16                                 | ANY  | 66 0F BB /r                   | MR       |        | BB         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 144   | btc               | btc r32/m,r32                                 | ANY  | 0F BB /r                      | MR       |        | BB         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 145   | btc               | btc r64/m,r64                                 | X64  | REX.W 0F BB /r                | MR       |        | BB         |     | W1  |      | 0F   | false | r    |       |         | -1       | false | false |
| 146   | btr               | btr r16/m,ib/ub                               | ANY  | 66 0F BA /6 ib                | MI       |        | BA         |     |     | 66   | 0F   | false | 6    |       |         | -1       | false | false |
| 147   | btr               | btr r32/m,ib/ub                               | ANY  | 0F BA /6 ib                   | MI       |        | BA         |     |     |      | 0F   | false | 6    |       |         | -1       | false | false |
| 148   | btr               | btr r64/m,ib/ub                               | X64  | REX.W 0F BA /6 ib             | MI       |        | BA         |     | W1  |      | 0F   | false | 6    |       |         | -1       | false | false |
| 149   | btr               | btr r16/m,r16                                 | ANY  | 66 0F B3 /r                   | MR       |        | B3         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
| 150   | btr               | btr r32/m,r32                                 | ANY  | 0F B3 /r                      | MR       |        | B3         |     |     |      | 0F   | false | r    |       |         | -1       | false | false |
| 151   | btr               | btr r64/m,r64                                 | X64  | REX.W 0F B3 /r                | MR       |        | B3         |     | W1  |      | 0F   | false | r    |       |         | -1       | false | false |
| 152   | bts               | bts r16/m,ib/ub                               | ANY  | 66 0F BA /5 ib                | MI       |        | BA         |     |     | 66   | 0F   | false | 5    |       |         | -1       | false | false |
| 153   | bts               | bts r32/m,ib/ub                               | ANY  | 0F BA /5 ib                   | MI       |        | BA         |     |     |      | 0F   | false | 5    |       |         | -1       | false | false |
| 154   | bts               | bts r64/m,ib/ub                               | X64  | REX.W 0F BA /5 ib             | MI       |        | BA         |     | W1  |      | 0F   | false | 5    |       |         | -1       | false | false |
| 155   | bts               | bts r16/m,r16                                 | ANY  | 66 0F AB /r                   | MR       |        | AB         |     |     | 66   | 0F   | false | r    |       |         | -1       | false | false |
