# al.exe options - https://docs.microsoft.com/en-us/dotnet/framework/tools/al-exe-assembly-linker
----------------------------------------------------------------------------------------------------------
| Name   | Meaning                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| al1050 | The feature you are using 'old feature' is no longer supported; please use 'new feature' instead A feature previously supported by Al.exe is now obsolete. Use the recommended feature instead.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| al1051 | Error emitting 'attribute' attribute—reason An assembly custom attribute was not processed by Al.exe for the specified reason.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| al1052 | File 'filename' is not an assembly The file specified with /template must contain assembly metadata. This error indicates that the file specified by /template did not contain an assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| al1053 | The version 'version' specified for the 'option' is not in the normal 'major.minor.build.revision' format Al.exe detected ill-formed version information specified with the /fileversion or /productversion options.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| al1054 | The version 'version' specified for the 'option' is not in the normal 'major.minor.build.revision' format Al.exe detected ill-formed version information specified with the SatelliteContractVersionAttribute .                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| al1055 | Referenced assembly 'filename' does not have a strong name This error is issued when you are building an assembly with a strong name and reference an assembly that does not have a strong name. To fix this, you must either regenerate your assembly with a strong name, or attach a strong name to the assembly by using Sn.exe (see the documentation for Sn.exe ). A common occurrence of this error is when you are using COM objects by way of wrapper assemblies, such as when you add a reference to a COM module to a C# project by way of the Visual Studio IDE. To avoid the error, you can specify the strong name key file for COM wrapper assemblies in the Project Property "Wrapper Assembly Key File/Name" If you are creating the wrapper assembly through tlbimp, see the tlbimp documentation for information about how to assign a strong name to the wrapper assembly. If an assembly has a strong name, it can be installed in the global assembly cache. Consequently, referenced assemblies would also go into the global assembly cache. Only assemblies with strong names can go into the global assembly cache. |
| al1056 | Referenced assembly 'filename' is a localized satellite assembly An assembly created by using the AssemblyCultureAttribute attribute was referenced in creating the current assembly. The AssemblyCultureAttribute attribute indicates the file is a localized satellite assembly and it is not appropriate to reference a satellite assembly. Reference the main parent assembly instead.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| al1057 | Executables cannot be localized, Culture should always be empty An assembly is being created by using /target:exe but /culture was specified. Assemblies in the .exe cannot have information in the Culture field.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| al1058 | 'file' is an assembly and cannot be added as a module In a C++ compilation, /assemblymodule (linker option) was passed a file that contained an assembly.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| al1059 | Unknown error (code) Al.exe received an unknown error code ( code ). Possible solutions include the following: Reinstall Visual Studio. Reinstall the Windows SDK. Check for missing files. Check for adequate disk space. Check for adequate memory. Stop other processes that might be accessing the files. Reboot your computer.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
