# CoreApi31 - https://docs.microsoft.com/en-us/dotnet/api/?view=netcore-3.1
------------------------------------------------------------------------------------------------------------------------------------------------
| Name                                                           | Description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Net.Cache Namespace                                     | The System.Net.Cache namespace defines the types and enumerations used to define cache policies for resources obtained using the WebRequest and HttpWebRequest classes.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Net.Http Namespace                                      | The namespace provides a programming interface for modern HTTP applications.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Net.Http Namespace                                      | The System.Net.Http namespace provides a programming interface for modern HTTP applications.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Net.Http. Headers Namespace                             | Provides support for collections of HTTP headers used by the System.Net.Http namespace.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Net.Mail Namespace                                      | The namespace contains classes used to send electronic mail to a Simple Mail Transfer Protocol (SMTP) server for delivery.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Net.Mail Namespace                                      | The System.Net.Mail namespace contains classes used to send electronic mail to a Simple Mail Transfer Protocol (SMTP) server for delivery.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Net.Mime Namespace                                      | The System.Net.Mime namespace holds types that are used to represent Multipurpose Internet Mail Exchange (MIME) headers. These types are used with the types in the System.Net.Mail namespace to specify Content-Type, Content-Disposition and Content-transfer-Encoding headers when using the SmtpClient class to send email.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Net.Mime Namespace                                      | The namespace holds types that are used to represent Multipurpose Internet Mail Exchange (MIME) headers. These types are used with the types in the namespace to specify Content-Type, Content-Disposition and Content-transfer-Encoding headers when using the class to send email.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System.Net.Network Information Namespace                       | The System.Net.NetworkInformation namespace provides access to network traffic data, network address information, and notification of address changes for the local computer. The namespace also contains classes that implement the Ping utility. You can use Ping and related classes to check whether a computer is reachable across the network.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System.Net.Network Information Namespace                       | The namespace provides access to network traffic data, network address information, and notification of address changes for the local computer. The namespace also contains classes that implement the Ping utility. You can use and related classes to check whether a computer is reachable across the network.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Net.PeerToPeer Namespace                                | The System.Net.PeerToPeer namespace provides access to peer networking functionality.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| System.Net.PeerToPeer.Collaboration Namespace                  | The System.Net.PeerToPeer.Collaboration namespace enhances System.Net.PeerToPeer networking functionality and provides capabilities for serverless managed collaboration sessions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System.Net.Security Namespace                                  | The System.Net.Security namespace provides network streams for secure communications between hosts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Net.Security Namespace                                  | The namespace provides network streams for secure communications between hosts.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Net.Sockets Namespace                                   | The namespace provides a managed implementation of the Windows Sockets (Winsock) interface for developers who need to tightly control access to the network.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System.Net.Sockets Namespace                                   | The System.Net.Sockets namespace provides a managed implementation of the Windows Sockets (Winsock) interface for developers who need to tightly control access to the network.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Net.WebSockets Namespace                                | The System.Net.WebSockets namespace provides a managed implementation of the WebSocket interface for developers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Net.WebSockets Namespace                                | The namespace provides a managed implementation of the WebSocket interface for developers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Numerics Namespace                                      | The System.Numerics namespace contains numeric types that complement the numeric primitives, such as Byte, Double, and Int32, that are defined by .NET.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |
| System.Printing Namespace                                      | Provides classes that enable you to automate the management of print servers, print queues, and print jobs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Printing Namespace                                      | Provides classes that enable you to automate the management of print servers, print queues, and print jobs.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| System.Printing.IndexedProperties Namespace                    | Provides classes that enable rapidly copying the property settings of a print system object to another object of the same type. Also, enables iteration through the properties of print system objects and the discovery of their types at run time, without using reflection.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Printing.Interop Namespace                              | Provides interconversion of managed PrintTicket objects and unmanaged Graphics Device Interface (GDI) DEVMODE structures.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Reflection Namespace                                    | The System.Reflection namespace contains types that retrieve information about assemblies, modules, members, parameters, and other entities in managed code by examining their metadata. These types also can be used to manipulate instances of loaded types, for example to hook up events or to invoke methods. To dynamically create types, use the System.Reflection.Emit namespace.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Reflection Namespace                                    | The namespace contains types that retrieve information about assemblies, modules, members, parameters, and other entities in managed code by examining their metadata. These types also can be used to manipulate instances of loaded types, for example to hook up events or to invoke methods. To dynamically create types, use the namespace.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Reflection. Emit Namespace                              | The System.Reflection.Emit namespace contains classes that allow a compiler or tool to emit metadata and Microsoft intermediate language (MSIL) and optionally generate a PE file on disk. The primary clients of these classes are script engines and compilers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| System.Reflection. Emit Namespace                              | The namespace contains classes that allow a compiler or tool to emit metadata and Microsoft intermediate language (MSIL) and optionally generate a PE file on disk. The primary clients of these classes are script engines and compilers.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Reflection. Metadata Namespace                          | The namespace contains types that represent metadata information about assemblies, modules, members, parameters, and other entities in managed code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| System.Reflection. Metadata Namespace                          | The System.Reflection.Metadata namespace contains types that represent metadata information about assemblies, modules, members, parameters, and other entities in managed code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Reflection. Metadata. Ecma335 Namespace                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Reflection. Metadata. Ecma335 Namespace                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Reflection. Portable Executable Namespace               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Reflection. Portable Executable Namespace               |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System. Resources Namespace                                    | The namespace provides classes and interfaces that allow developers to create, store, and manage various culture-specific resources used in an application. One of the most important classes of the namespace is the class.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
| System. Resources Namespace                                    | The System.Resources namespace provides classes and interfaces that allow developers to create, store, and manage various culture-specific resources used in an application. One of the most important classes of the System.Resources namespace is the ResourceManager class.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System. Resources. Extensions Namespace                        | Provides classes that can read and write resources in a format that supports non-primitive objects.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System. Resources. Extensions Namespace                        | Provides classes that can read and write resources in a format that supports non-primitive objects.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| System.Runtime Namespace                                       | The namespace contains advanced types that support diverse namespaces such as the System, Runtime, and the Security namespaces.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Runtime Namespace                                       | The System.Runtime namespace contains advanced types that support diverse namespaces such as the System, Runtime, and the Security namespaces.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
| System.Runtime. Compiler Services Namespace                    | The namespace provides functionality for compiler writers who use managed code to specify attributes in metadata that affect the run-time behavior of the common language runtime.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System.Runtime. Compiler Services Namespace                    | The System.Runtime.CompilerServices namespace provides functionality for compiler writers who use managed code to specify attributes in metadata that affect the run-time behavior of the common language runtime.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System.Runtime. Constrained Execution Namespace                | The namespace defines a set of types that enumerate and define a contract for reliability between the author of some code, and the developers who take a dependency on that code. The types in the namespace are intended for use in constrained execution regions (CERs).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| System.Runtime. Constrained Execution Namespace                | The System.Runtime.ConstrainedExecution namespace defines a set of types that enumerate and define a contract for reliability between the author of some code, and the developers who take a dependency on that code. The types in the System.Runtime.ConstrainedExecution namespace are intended for use in constrained execution regions (CERs).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| System.Runtime. Exception Services Namespace                   | The namespace provides classes for advanced exception handling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| System.Runtime. Exception Services Namespace                   | The System.Runtime.ExceptionServices namespace provides classes for advanced exception handling.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| System.Runtime. Interop Services Namespace                     | The System.Runtime.InteropServices namespace provides a wide variety of members that support COM interop and platform invoke services. If you are unfamiliar with these services, see Interoperating with Unmanaged Code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| System.Runtime. Interop Services Namespace                     | The namespace provides a wide variety of members that support COM interop and platform invoke services. If you are unfamiliar with these services, see Interoperating with Unmanaged Code.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
