Seq      | Mnemonic
737      | Stgi
738      | Sti
739      | Stmxcsr
740      | Stosb
741      | Stosd
742      | Stosq
743      | Stosw
744      | Str
745      | Sub
746      | Subpd
747      | Subps
748      | Subsd
749      | Subss
750      | Swapgs
751      | Syscall
752      | Sysenter
753      | Sysexit
754      | Sysret
755      | T1mskc
756      | Test
757      | Tpause
758      | Tzcnt
759      | Tzmsk
760      | Ucomisd
761      | Ucomiss
762      | Ud0
763      | Ud1
764      | Ud2
765      | Umonitor
766      | Umov
767      | Umwait
768      | Unpckhpd
769      | Unpckhps
770      | Unpcklpd
771      | Unpcklps
772      | V4fmaddps
773      | V4fmaddss
774      | V4fnmaddps
775      | V4fnmaddss
776      | Vaddpd
777      | Vaddps
778      | Vaddsd
779      | Vaddss
780      | Vaddsubpd
781      | Vaddsubps
782      | Vaesdec
783      | Vaesdeclast
784      | Vaesenc
785      | Vaesenclast
786      | Vaesimc
787      | Vaeskeygenassist
788      | Valignd
789      | Valignq
790      | Vandnpd
791      | Vandnps
792      | Vandpd
793      | Vandps
794      | Vblendmpd
795      | Vblendmps
796      | Vblendpd
797      | Vblendps
798      | Vblendvpd
799      | Vblendvps
800      | Vbroadcastf128
801      | Vbroadcastf32x2
802      | Vbroadcastf32x4
803      | Vbroadcastf32x8
804      | Vbroadcastf64x2
805      | Vbroadcastf64x4
806      | Vbroadcasti128
807      | Vbroadcasti32x2
808      | Vbroadcasti32x4
809      | Vbroadcasti32x8
810      | Vbroadcasti64x2
811      | Vbroadcasti64x4
812      | Vbroadcastsd
813      | Vbroadcastss
814      | Vcmppd
815      | Vcmpps
816      | Vcmpsd
817      | Vcmpss
818      | Vcomisd
819      | Vcomiss
820      | Vcompresspd
821      | Vcompressps
822      | Vcvtdq2pd
823      | Vcvtdq2ps
824      | Vcvtne2ps2bf16
825      | Vcvtneps2bf16
826      | Vcvtpd2dq
827      | Vcvtpd2ps
828      | Vcvtpd2qq
829      | Vcvtpd2udq
830      | Vcvtpd2uqq
831      | Vcvtph2ps
832      | Vcvtps2dq
833      | Vcvtps2pd
834      | Vcvtps2ph
835      | Vcvtps2qq
836      | Vcvtps2udq
837      | Vcvtps2uqq
838      | Vcvtqq2pd
839      | Vcvtqq2ps
840      | Vcvtsd2si
841      | Vcvtsd2ss
842      | Vcvtsd2usi
843      | Vcvtsi2sd
844      | Vcvtsi2ss
845      | Vcvtss2sd
846      | Vcvtss2si
847      | Vcvtss2usi
848      | Vcvttpd2dq
849      | Vcvttpd2qq
850      | Vcvttpd2udq
851      | Vcvttpd2uqq
852      | Vcvttps2dq
853      | Vcvttps2qq
854      | Vcvttps2udq
855      | Vcvttps2uqq
856      | Vcvttsd2si
857      | Vcvttsd2usi
858      | Vcvttss2si
859      | Vcvttss2usi
860      | Vcvtudq2pd
861      | Vcvtudq2ps
862      | Vcvtuqq2pd
863      | Vcvtuqq2ps
864      | Vcvtusi2sd
865      | Vcvtusi2ss
866      | Vdbpsadbw
867      | Vdivpd
868      | Vdivps
869      | Vdivsd
870      | Vdivss
871      | Vdpbf16ps
872      | Vdppd
873      | Vdpps
874      | Verr
875      | Verw
876      | Vexp2pd
877      | Vexp2ps
878      | Vexpandpd
879      | Vexpandps
880      | Vextractf128
881      | Vextractf32x4
882      | Vextractf32x8
883      | Vextractf64x2
884      | Vextractf64x4
885      | Vextracti128
886      | Vextracti32x4
887      | Vextracti32x8
888      | Vextracti64x2
889      | Vextracti64x4
890      | Vextractps
891      | Vfixupimmpd
892      | Vfixupimmps
893      | Vfixupimmsd
894      | Vfixupimmss
895      | Vfmadd132pd
896      | Vfmadd132ps
897      | Vfmadd132sd
898      | Vfmadd132ss
899      | Vfmadd213pd
900      | Vfmadd213ps
901      | Vfmadd213sd
902      | Vfmadd213ss
903      | Vfmadd231pd
904      | Vfmadd231ps
905      | Vfmadd231sd
906      | Vfmadd231ss
907      | Vfmaddpd
908      | Vfmaddps
909      | Vfmaddsd
910      | Vfmaddss
911      | Vfmaddsub132pd
912      | Vfmaddsub132ps
913      | Vfmaddsub213pd
914      | Vfmaddsub213ps
915      | Vfmaddsub231pd
916      | Vfmaddsub231ps
917      | Vfmaddsubpd
918      | Vfmaddsubps
919      | Vfmsub132pd
920      | Vfmsub132ps
921      | Vfmsub132sd
922      | Vfmsub132ss
923      | Vfmsub213pd
924      | Vfmsub213ps
925      | Vfmsub213sd
926      | Vfmsub213ss
927      | Vfmsub231pd
928      | Vfmsub231ps
929      | Vfmsub231sd
930      | Vfmsub231ss
931      | Vfmsubadd132pd
932      | Vfmsubadd132ps
933      | Vfmsubadd213pd
934      | Vfmsubadd213ps
935      | Vfmsubadd231pd
936      | Vfmsubadd231ps
937      | Vfmsubaddpd
938      | Vfmsubaddps
939      | Vfmsubpd
940      | Vfmsubps
941      | Vfmsubsd
942      | Vfmsubss
943      | Vfnmadd132pd
944      | Vfnmadd132ps
945      | Vfnmadd132sd
946      | Vfnmadd132ss
947      | Vfnmadd213pd
948      | Vfnmadd213ps
949      | Vfnmadd213sd
950      | Vfnmadd213ss
951      | Vfnmadd231pd
952      | Vfnmadd231ps
953      | Vfnmadd231sd
954      | Vfnmadd231ss
955      | Vfnmaddpd
956      | Vfnmaddps
957      | Vfnmaddsd
958      | Vfnmaddss
959      | Vfnmsub132pd
960      | Vfnmsub132ps
961      | Vfnmsub132sd
962      | Vfnmsub132ss
963      | Vfnmsub213pd
964      | Vfnmsub213ps
965      | Vfnmsub213sd
966      | Vfnmsub213ss
967      | Vfnmsub231pd
968      | Vfnmsub231ps
969      | Vfnmsub231sd
970      | Vfnmsub231ss
971      | Vfnmsubpd
972      | Vfnmsubps
973      | Vfnmsubsd
974      | Vfnmsubss
975      | Vfpclasspd
976      | Vfpclassps
977      | Vfpclasssd
978      | Vfpclassss
979      | Vfrczpd
980      | Vfrczps
981      | Vfrczsd
982      | Vfrczss
983      | Vgatherdpd
984      | Vgatherdps
985      | Vgatherpf0dpd
986      | Vgatherpf0dps
987      | Vgatherpf0qpd
988      | Vgatherpf0qps
989      | Vgatherpf1dpd
990      | Vgatherpf1dps
991      | Vgatherpf1qpd
992      | Vgatherpf1qps
993      | Vgatherqpd
994      | Vgatherqps
995      | Vgetexppd
996      | Vgetexpps
997      | Vgetexpsd
998      | Vgetexpss
999      | Vgetmantpd
1000     | Vgetmantps
1001     | Vgetmantsd
1002     | Vgetmantss
1003     | Vgf2p8affineinvqb
1004     | Vgf2p8affineqb
1005     | Vgf2p8mulb
1006     | Vhaddpd
1007     | Vhaddps
1008     | Vhsubpd
1009     | Vhsubps
1010     | Vinsertf128
1011     | Vinsertf32x4
1012     | Vinsertf32x8
1013     | Vinsertf64x2
1014     | Vinsertf64x4
1015     | Vinserti128
1016     | Vinserti32x4
1017     | Vinserti32x8
1018     | Vinserti64x2
1019     | Vinserti64x4
1020     | Vinsertps
1021     | Vlddqu
1022     | Vldmxcsr
1023     | Vmaskmovdqu
1024     | Vmaskmovpd
1025     | Vmaskmovps
1026     | Vmaxpd
1027     | Vmaxps
1028     | Vmaxsd
1029     | Vmaxss
1030     | Vmcall
1031     | Vmclear
1032     | Vmfunc
1033     | Vminpd
1034     | Vminps
1035     | Vminsd
1036     | Vminss
1037     | Vmlaunch
1038     | Vmload
1039     | Vmmcall
1040     | Vmovapd
1041     | Vmovaps
1042     | Vmovd
1043     | Vmovddup
1044     | Vmovdqa
1045     | Vmovdqa32
1046     | Vmovdqa64
1047     | Vmovdqu
1048     | Vmovdqu16
1049     | Vmovdqu32
1050     | Vmovdqu64
1051     | Vmovdqu8
1052     | Vmovhlps
1053     | Vmovhpd
1054     | Vmovhps
1055     | Vmovlhps
1056     | Vmovlpd
1057     | Vmovlps
1058     | Vmovmskpd
1059     | Vmovmskps
1060     | Vmovntdq
1061     | Vmovntdqa
1062     | Vmovntpd
1063     | Vmovntps
1064     | Vmovq
1065     | Vmovsd
1066     | Vmovshdup
1067     | Vmovsldup
1068     | Vmovss
1069     | Vmovupd
1070     | Vmovups
1071     | Vmpsadbw
1072     | Vmptrld
1073     | Vmptrst
1074     | Vmread
1075     | Vmresume
1076     | Vmrun
1077     | Vmsave
1078     | Vmulpd
1079     | Vmulps
1080     | Vmulsd
1081     | Vmulss
1082     | Vmwrite
1083     | Vmxoff
1084     | Vmxon
1085     | Vorpd
1086     | Vorps
1087     | Vp2intersectd
1088     | Vp2intersectq
1089     | Vp4dpwssd
1090     | Vp4dpwssds
1091     | Vpabsb
1092     | Vpabsd
