| Sequence  | Id                                                | CodeInfo                      | Encoding    | FlowControl           | RflagsRead                          | RflagsUndefined                     | RflagsWritten                       | RflagsCleared                       | RflagsSet                           | RflagsInfo                          | Cpuid               | Flags               | OpInfo    
| 2940      | VEX_Vpminsd_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2941      | VEX_Vpminsd_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2942      | EVEX_Vpminsd_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2943      | EVEX_Vpminsd_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2944      | EVEX_Vpminsd_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2945      | EVEX_Vpminsq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2946      | EVEX_Vpminsq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2947      | EVEX_Vpminsq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2948      | EVEX_Vpmovd2m_k_xmm                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 2949      | EVEX_Vpmovd2m_k_ymm                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 2950      | EVEX_Vpmovd2m_k_zmm                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read
| 2951      | EVEX_Vpmovq2m_k_xmm                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 2952      | EVEX_Vpmovq2m_k_ymm                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read
| 2953      | EVEX_Vpmovq2m_k_zmm                               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read
| 2954      | Pminuw_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 2955      | VEX_Vpminuw_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2956      | VEX_Vpminuw_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2957      | EVEX_Vpminuw_xmm_k1z_xmm_xmmm128                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 2958      | EVEX_Vpminuw_ymm_k1z_ymm_ymmm256                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 2959      | EVEX_Vpminuw_zmm_k1z_zmm_zmmm512                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 2960      | EVEX_Vpbroadcastmw2d_xmm_k                        |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512CD  | ProtectedMode       | Write, Read
| 2961      | EVEX_Vpbroadcastmw2d_ymm_k                        |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512CD  | ProtectedMode       | Write, Read
| 2962      | EVEX_Vpbroadcastmw2d_zmm_k                        |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512CD            | ProtectedMode       | Write, Read
| 2963      | Pminud_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 2964      | VEX_Vpminud_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2965      | VEX_Vpminud_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2966      | EVEX_Vpminud_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2967      | EVEX_Vpminud_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2968      | EVEX_Vpminud_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2969      | EVEX_Vpminuq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2970      | EVEX_Vpminuq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2971      | EVEX_Vpminuq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2972      | Pmaxsb_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 2973      | VEX_Vpmaxsb_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2974      | VEX_Vpmaxsb_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2975      | EVEX_Vpmaxsb_xmm_k1z_xmm_xmmm128                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 2976      | EVEX_Vpmaxsb_ymm_k1z_ymm_ymmm256                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 2977      | EVEX_Vpmaxsb_zmm_k1z_zmm_zmmm512                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 2978      | Pmaxsd_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 2979      | VEX_Vpmaxsd_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2980      | VEX_Vpmaxsd_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2981      | EVEX_Vpmaxsd_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2982      | EVEX_Vpmaxsd_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2983      | EVEX_Vpmaxsd_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2984      | EVEX_Vpmaxsq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2985      | EVEX_Vpmaxsq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2986      | EVEX_Vpmaxsq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2987      | Pmaxuw_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 2988      | VEX_Vpmaxuw_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2989      | VEX_Vpmaxuw_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2990      | EVEX_Vpmaxuw_xmm_k1z_xmm_xmmm128                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 2991      | EVEX_Vpmaxuw_ymm_k1z_ymm_ymmm256                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512BW  | ProtectedMode       | Write, Read, Read
| 2992      | EVEX_Vpmaxuw_zmm_k1z_zmm_zmmm512                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512BW            | ProtectedMode       | Write, Read, Read
| 2993      | Pmaxud_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 2994      | VEX_Vpmaxud_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 2995      | VEX_Vpmaxud_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 2996      | EVEX_Vpmaxud_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2997      | EVEX_Vpmaxud_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 2998      | EVEX_Vpmaxud_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 2999      | EVEX_Vpmaxuq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3000      | EVEX_Vpmaxuq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3001      | EVEX_Vpmaxuq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3002      | Pmulld_xmm_xmmm128                                |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | ReadWrite, Read
| 3003      | VEX_Vpmulld_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read, Read
| 3004      | VEX_Vpmulld_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3005      | EVEX_Vpmulld_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3006      | EVEX_Vpmulld_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3007      | EVEX_Vpmulld_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3008      | EVEX_Vpmullq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512DQ  | ProtectedMode       | Write, Read, Read
| 3009      | EVEX_Vpmullq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512DQ  | ProtectedMode       | Write, Read, Read
| 3010      | EVEX_Vpmullq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512DQ            | ProtectedMode       | Write, Read, Read
| 3011      | Phminposuw_xmm_xmmm128                            |                               | Legacy      | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | SSE4_1              |                     | Write, Read
| 3012      | VEX_Vphminposuw_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX                 | ProtectedMode       | Write, Read
| 3013      | EVEX_Vgetexpps_xmm_k1z_xmmm128b32                 |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 3014      | EVEX_Vgetexpps_ymm_k1z_ymmm256b32                 |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 3015      | EVEX_Vgetexpps_zmm_k1z_zmmm512b32_sae             |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 3016      | EVEX_Vgetexppd_xmm_k1z_xmmm128b64                 |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 3017      | EVEX_Vgetexppd_ymm_k1z_ymmm256b64                 |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read
| 3018      | EVEX_Vgetexppd_zmm_k1z_zmmm512b64_sae             |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read
| 3019      | EVEX_Vgetexpss_xmm_k1z_xmm_xmmm32_sae             |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3020      | EVEX_Vgetexpsd_xmm_k1z_xmm_xmmm64_sae             |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3021      | EVEX_Vplzcntd_xmm_k1z_xmmm128b32                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512CD  | ProtectedMode       | Write, Read
| 3022      | EVEX_Vplzcntd_ymm_k1z_ymmm256b32                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512CD  | ProtectedMode       | Write, Read
| 3023      | EVEX_Vplzcntd_zmm_k1z_zmmm512b32                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512CD            | ProtectedMode       | Write, Read
| 3024      | EVEX_Vplzcntq_xmm_k1z_xmmm128b64                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512CD  | ProtectedMode       | Write, Read
| 3025      | EVEX_Vplzcntq_ymm_k1z_ymmm256b64                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512CD  | ProtectedMode       | Write, Read
| 3026      | EVEX_Vplzcntq_zmm_k1z_zmmm512b64                  |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512CD            | ProtectedMode       | Write, Read
| 3027      | VEX_Vpsrlvd_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3028      | VEX_Vpsrlvd_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3029      | VEX_Vpsrlvq_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3030      | VEX_Vpsrlvq_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3031      | EVEX_Vpsrlvd_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3032      | EVEX_Vpsrlvd_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3033      | EVEX_Vpsrlvd_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3034      | EVEX_Vpsrlvq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3035      | EVEX_Vpsrlvq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3036      | EVEX_Vpsrlvq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3037      | VEX_Vpsravd_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3038      | VEX_Vpsravd_ymm_ymm_ymmm256                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
| 3039      | EVEX_Vpsravd_xmm_k1z_xmm_xmmm128b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3040      | EVEX_Vpsravd_ymm_k1z_ymm_ymmm256b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3041      | EVEX_Vpsravd_zmm_k1z_zmm_zmmm512b32               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3042      | EVEX_Vpsravq_xmm_k1z_xmm_xmmm128b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3043      | EVEX_Vpsravq_ymm_k1z_ymm_ymmm256b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512VL, AVX512F   | ProtectedMode       | Write, Read, Read
| 3044      | EVEX_Vpsravq_zmm_k1z_zmm_zmmm512b64               |                               | EVEX        | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX512F             | ProtectedMode       | Write, Read, Read
| 3045      | VEX_Vpsllvd_xmm_xmm_xmmm128                       |                               | VEX         | Next                  |                                     |                                     |                                     |                                     |                                     |                                     | AVX2                | ProtectedMode       | Write, Read, Read
