| Sequence  | Id                                                | CodeInfo                      | Encoding    | FlowControl           | RflagsRead                          | RflagsUndefined                     | RflagsWritten                       | RflagsCleared                       | RflagsSet                           | RflagsInfo                          | Cpuid               | Flags               | OpInfo    
| 75        | And_r64_rm64                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | X64                 |                     | ReadWrite, Read
| 76        | And_AL_imm8                                       |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 77        | And_AX_imm16                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 78        | And_EAX_imm32                                     |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 79        | And_RAX_imm32                                     |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | X64                 |                     | ReadWrite, Read
| 80        | Daa                                               | RW_AL                         | Legacy      | Next                  | AF, CF                              | OF                                  | SF, ZF, AF, CF, PF                  |                                     |                                     |                                     |                     |                     |           
| 81        | Sub_rm8_r8                                        | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 82        | Sub_rm16_r16                                      | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 83        | Sub_rm32_r32                                      | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 84        | Sub_rm64_r64                                      | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 85        | Sub_r8_rm8                                        | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 86        | Sub_r16_rm16                                      | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 87        | Sub_r32_rm32                                      | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 88        | Sub_r64_rm64                                      | Clear_rflags                  | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 89        | Sub_AL_imm8                                       |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 90        | Sub_AX_imm16                                      |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     |                     |                     | ReadWrite, Read
| 91        | Sub_EAX_imm32                                     |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 92        | Sub_RAX_imm32                                     |                               | Legacy      | Next                  |                                     |                                     | OF, SF, ZF, AF, CF, PF              |                                     |                                     |                                     | X64                 |                     | ReadWrite, Read
| 93        | Das                                               | RW_AL                         | Legacy      | Next                  | AF, CF                              | OF                                  | SF, ZF, AF, CF, PF                  |                                     |                                     |                                     |                     |                     |           
| 94        | Xor_rm8_r8                                        | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 95        | Xor_rm16_r16                                      | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 96        | Xor_rm32_r32                                      | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 97        | Xor_rm64_r64                                      | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | X64                 |                     | ReadWrite, Read
| 98        | Xor_r8_rm8                                        | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 99        | Xor_r16_rm16                                      | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 100       | Xor_r32_rm32                                      | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 101       | Xor_r64_rm64                                      | Clear_rflags                  | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | X64                 |                     | ReadWrite, Read
| 102       | Xor_AL_imm8                                       |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 103       | Xor_AX_imm16                                      |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     |                     |                     | ReadWrite, Read
| 104       | Xor_EAX_imm32                                     |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | INTEL386            |                     | ReadWrite, Read
| 105       | Xor_RAX_imm32                                     |                               | Legacy      | Next                  |                                     | AF                                  | SF, ZF, PF                          | OF, CF                              |                                     |                                     | X64                 |                     | ReadWrite, Read
